,name,bio,appointed_date,administration,department
60,Hugh Mullane,"Hugh Mullane
Attorney General Michael B. Mukasey appointed Hugh Mullane in August 2008.  Judge Mullane received a bachelor of business administration degree in 1989 from Siena College and a juris doctorate in 1993 from Georgetown University Law Center.  From 2005 to 2008, he served as special counsel, Office of Legal Policy, Department of Justice (DOJ).  From 2004 to 2005, he worked as the Director of Immigration Security for the Homeland Security Council at the White House. From 1995 to 2004, he served as a senior litigation counsel, Civil Division, DOJ.  From 1994 to 1995, Judge Mullane was an attorney with the Federal Trade Commission.  From 1993 to 1994, he was a law clerk for the Honorable David G. Larimer, U.S. District Judge for the Western District of New York.  Judge Mullane is a member of the District of Columbia and New York State Bars.","[8, '2008']",Donald Trump,The Board of Immigration Appeals (BIA)
61,Blair O'Connor,"Attorney General Loretta E. Lynch appointed Judge O’Connor to begin hearing cases in February 2016.  Judge O’Connor received a Bachelor of Business Administration degree in 1992 from the University of Notre Dame and a Juris Doctor in 1995 from the Valparaiso University School of Law.  From 2002 to 2016, he served as an assistant director, senior litigation counsel, and trial attorney at the Office of Immigration Litigation, Civil Division, Department of Justice.  From 1996 to 2002, he served on active duty in various capacities in the Army’s Judge Advocate General Corps including as legal assistance and claims attorney, prosecutor, appellate defense attorney, and as a law clerk to the U.S. Army Court of Criminal Appeals.  Judge O’Connor is a member of the Illinois Bar.","[2, '2016']",George W. Bush,The Board of Immigration Appeals (BIA)
62,Sirce E. Owen,"Attorney General William P. Barr appointed Sirce E. Owen as an appellate immigration judge in August 2020. Judge Owen earned a Bachelor of Science in 1996 from Johns Hopkins University, a Master of Business Administration in 2002 from Georgia State University, and a Juris Doctor in 2005 from Georgia State University. From 2018 to 2020, she served as an assistant chief immigration judge, based in Atlanta. From June 2019 to January 2020, she served as acting deputy director of EOIR. From 2016 to 2018, she served as deputy chief counsel, Office of Chief Counsel, Office of the Principal Legal Advisor, Immigration and Customs Enforcement (ICE), Department of Homeland Security (DHS), in Atlanta. From 2008 to 2016, she served as assistant chief counsel, ICE, DHS, in Atlanta. From 2005 to 2008, she was an associate attorney with Mozley, Finlayson & Loggins LLP, in Atlanta. Judge Owen is a member of the State Bar of Georgia.","[8, '2020']",Barack Obama,The Board of Immigration Appeals (BIA)
63,Aaron R. Petty,"Attorney General William Barr appointed Aaron R. Petty in April 2020.  Judge Petty comes to the Board of Immigration Appeals from the Civil Division, Department of Justice where he has served since October 2009. He received a Bachelor of Arts in 2004 from Northwestern University, a Juris Doctor in 2007 from the University of Michigan Law School, a Master of Studies in 2012 from the University of Cambridge, and a Doctor of Philosophy in 2016 from Leiden University. From October 2015 to April 2020, he served as counsel for national security and senior counsel for national security, District Court Section, Office of Immigration Litigation (OIL), Civil Division, Department of Justice (DOJ). From October 2009 to October 2015, he served as a trial attorney and counsel for national security, Appellate Section, OIL, DOJ. From 2007 to 2009, he worked as a law clerk for the U.S. Court of Appeals for the Seventh Circuit. He also serves as an officer in the U.S. Air Force Reserve. Judge Petty is a member of the District of Columbia Bar and Illinois State Bar.","[4, '2020']",Donald Trump,The Board of Immigration Appeals (BIA)
64,Kevin W. Riley,"Attorney General William Barr appointed Kevin W. Riley in April 2020.  Judge Riley comes to the Board of Immigration Appeals after serving as an immigration judge since 2009, when he was initially appointed by former Attorney General Eric Holder. He received a Bachelor of Arts in 1992 from the University of Oregon, a Juris Doctor in 1995 from UCLA School of Law, and a Master of Business Administration in 2005 from California State University, Northridge. From November 2009 to May 2020, he served as an immigration judge in Los Angeles. From 2004 to November 2009, he served as deputy chief counsel, Office of Chief Counsel, Office of the Principal Legal Advisor, Immigration and Customs Enforcement, Department of Homeland Security, in Los Angeles. From 2003 to 2004, he served as an assistant chief counsel in the same office. From 1995 to 2003, he served as an assistant district counsel with the former Immigration and Naturalization Service in Los Angeles. From May to August 1994, he worked as a law clerk at the U.S. Attorney’s Office for the District of Nevada. Judge Riley is a member of the State Bar of California.","[4, '2020']",Donald Trump,The Board of Immigration Appeals (BIA)
65,Earle B. Wilson,"Attorney General William Barr appointed Earle B. Wilson in August 2019. Judge Wilson received a Bachelor of Science in 1979 from Atlantic Union College and a Juris Doctorate in 1989 from Howard University School of Law. From October 2005 to July 2007, Judge Wilson served as an immigration judge in Miami; from July 2007 to April 2010, he served as an immigration judge in Orlando, Florida; and from April 2010 to August 2019, he served as an immigration judge in Atlanta. From 1998 to 2004, he served as a senior litigation counsel and trial attorney with the Office of Immigration Litigation, Department of Justice, in the District of Columbia. From 1996 to 1998, he served as an assistant U.S. attorney with the U.S. Attorney’s Office in Maryland. From 1992 to 1996, he served as senior counsel at the Securities and Exchange Commission in the District of Columbia. From 1990 to 1992, he was an associate attorney with the law firm of Honigman, Miller, Schwartz and Cohn, in Detroit. From 1989 to 1990, he served as law clerk to the Honorable Joseph W. Hatchett of the U.S. Court of Appeals for the 11th Circuit in Tallahassee, Florida. Judge Wilson is a member of the Maryland State Bar.","[8, '2019']",Donald Trump,The Board of Immigration Appeals (BIA)
66,Teresa L. Donovan,"Teresa L. Donovan
Attorney General William Barr appointed Teresa L. Donovan as a temporary Judge in February 2020. Judge Donovan received a Bachelor of Science in 1977 from the Washington State University, a Juris Doctor in 1980 from Gonzaga University School of Law, and a Master of Laws in 1981 from Boston University School of Law. She previously served as a temporary board member, Board of Immigration Appeals, Executive Office for Immigration Review (EOIR), from 2011 to 2015, and from 2018 to 2019. Since 2016, she has served as a senior legal advisor at the Board of Immigration Appeals, EOIR. Judge Donovan arrived at the Board of Immigration Appeals, EOIR, as an attorney advisor in 1998, following eight years in private practice. Judge Donovan is a member of the District of Columbia Bar, Virginia State Bar, and Washington State Bar.","[2, '2020']",Donald Trump,The Board of Immigration Appeals (BIA)
67,Megan Foote Monsky ,"Attorney General William Barr appointed Megan Foote Monsky as a temporary Judge in April 2020. Judge Foote Monsky earned a Bachelor of Arts and Bachelor of Science in 1999 from Furman University and a Juris Doctor in 2002 from Vermont Law School. Since November 2014, she has served as a supervisory attorney advisor at the Board of Immigration Appeals (BIA). During this time, from January to July 2017, she served as a temporary immigration judge. Judge Foote Monsky joined the BIA as an attorney advisor in September 2002, entering on duty through the Attorney General’s Honors Program. Judge Foote Monsky is a member of the South Carolina Bar.","[4, '2020']",Donald Trump,The Board of Immigration Appeals (BIA)
68,Joan B. Geller,"Attorney General William P. Barr appointed Joan B. Geller as a temporary appellate immigration judge in September 2020. Judge Geller earned a Bachelor of Arts in 1990 from the University of Wisconsin-Madison and a Juris Doctor in 1994 from Georgetown University. From 2003 to 2020, she served as an attorney advisor, Board of Immigration Appeals, Executive Office for Immigration Review. From 2015 to 2016 and 2018 to 2019, she served as a temporary appellate immigration judge. From 1994 to 2003, she served for the District of Columbia Court of Appeals, both as a staff attorney and then as a deputy staff counsel. Judge Geller is a member of the District of Columbia Bar and Maryland State Bar.","[9, '2020']",Donald Trump,The Board of Immigration Appeals (BIA)
69,Marcos Gemoets,"Marcos Gemoets
Attorney General William Barr appointed Marcos Gemoets as a temporary Judge in February 2020. Judge Gemoets earned a Bachelor of Science in 1999 from Georgetown University, School of Foreign Service, and a Juris Doctor in 2002 from St. Mary’s School of Law. From August 2017 to January 2020, Judge Gemoets served as an immigration judge at the Houston Immigration Court. From 2011 to 2017, he served as an attorney at the Law Office of Marcos Gemoets PC, in Houston. From 2007 to 2011, he served as a senior attorney at AzulaySeiden Law Group, in Chicago. From 2006 to 2007, he served as a senior policy analyst for the U.S. Conference of Catholic Bishops, in the District of Columbia. From 2003 to 2006, he served as an attorney, then director of immigration services, for the Catholic Charities, Archdiocese of San Antonio. In 2003, he served as an attorney at the Law Office of Joseph B. DeMott & Associates, also in San Antonio. Judge Gemoets is a member of the Texas State Bar.","[2, '2020']",Donald Trump,The Board of Immigration Appeals (BIA)
70,Daniel A. Morris,"Daniel A. Morris
Attorney General William Barr appointed Daniel A. Morris as a temporary Judge in February 2020. Judge Morris received a Bachelor of Science in 1976 from the University of Nebraska Omaha, a Juris Doctor in 1981 from Creighton University School of Law, and a Master of Business Administration in 1981 from Creighton University Graduate School. From April 2009 to January 2020, Judge Morris served as an immigration judge at the Omaha Immigration Court, and most recently, at the Hartford Immigration Court. He previously served as a temporary board member, Board of Immigration Appeals, Executive Office for Immigration Review, from 2018 to 2019. From October 2005 to April 2009, he served as an assistant chief counsel, U.S. Immigration and Customs Enforcement, Department of Homeland Security, in Omaha. From April 2002 to October 2005, Judge Morris was in private practice in Omaha. From 1987 to 2002, he served as an assistant U.S. Attorney, also in Omaha. From 1981 to 1987, he served as senior corporate counsel for Mutual of Omaha Insurance Companies. Judge Morris is a member of the Nebraska State Bar.","[2, '2020']",Donald Trump,The Board of Immigration Appeals (BIA)
71,Mark Noferi,"
Attorney General William P. Barr appointed Mark Noferi as a temporary appellate immigration judge in September 2020. Judge Noferi earned a Bachelor of Arts in 1996 from Boston College and a Juris Doctor in 2005 from Stanford Law School. From March 2020 to September 2020, he served as a senior legal advisor, Board of Immigration Appeals, Executive Office for Immigration Review, and from March 2019 to March 2020, he served as a temporary appellate immigration judge. From 2017 to March 2019, he served as a senior counsel for immigration, Office of the General Counsel, Executive Office for Immigration Review. From 2015 to 2017, he served as an attorney advisor for the Immigration Law Division, Office of the General Counsel, Department of Homeland Security. From 2014 to 2015, he served as an enforcement fellow for the American Immigration Council. From 2013 to 2014, he served as the visiting associate fellow at the Center for Migration Studies. From 2010 to 2013, he served as an instructor of legal writing at the Brooklyn Law School. From 2009 to 2010, he served as a public interest fellow at the Seton Hall Law School Center for Social Justice. From 2007 to 2009, he was in private practice with Dewey and LeBoeuf LLP. From 2006 to 2007, he served as a clerk for the Honorable Harold Baer Jr., U.S. District Judge for the Southern District of New York. From 2006 to 2007, he was in private practice with LeBoeuf, Lamb, Greene & MacRae LLP. Judge Noferi is a member of the New York State Bar and the Massachusetts State Bar.","[9, '2020']",Donald Trump,The Board of Immigration Appeals (BIA)
72,S. Kathleen Pepper ,"Attorney General William Barr appointed S. Kathleen Pepper as a temporary Judge in April 2020. Judge Pepper earned a Bachelor of Arts in 1981 from the College of William and Mary, a Master of Business Administration in 1986 from the College of William and Mary, and a Juris Doctor in 1991 from the Marshall-Wythe School of Law, College of William and Mary. Since October 1992, she has served as an attorney advisor, Board of Immigration Appeals, Executive Office for Immigration Review (EOIR) and, since January 2008, has worked in that capacity as the federal court remand coordinator. From January to July 2017, she served as a temporary immigration judge. From April to December 2007, she served on detail as a legislative counsel at the Senate Judiciary Committee. From April 2003 to January 2004, she served on detail as a special assistant U.S. attorney for the Department of Justice, U.S. Attorney’s Office, Eastern District of Virginia, Civil Division. From September 1991 to October 1992, Judge Pepper worked as a judicial law clerk at the Arlington and Phoenix immigration courts, entering on duty through the Attorney General’s Honors Program. Judge Pepper is a member of the Virginia State Bar.","[4, '2020']",Donald Trump,The Board of Immigration Appeals (BIA)
